key,description
"Ctrl-o, Ctrl-i, Ctrl-o, Ctrl-i, Ctrl-o, Ctrl-i, Ctrl-o, Ctrl-i, Ctrl-o",cycle through jump list
d,delete (cut) the marked text
dw,delete word
dW,delete WORD
dd,delete line
d$,delete to end of line
d0,delete to beginning of line
dG,delete to end of file
dgg,delete to beginning of file
d2w,delete two words
d3j,delete three lines down
d2f',delete to second occurrence of '
d2t',delete to second occurrence of ' excluding the character
d/hello,delete to first occurrence of 'hello'
d?hello,delete to first occurrence of 'hello' backwards
d2e,delete to end of second word
d2E,delete to end of second WORD
d2),delete to second closing parenthesis
d2],delete to second closing bracket
Ctrl+i,move to next instance in jump list
Ctrl+o,move to previous instance in jump list
"Ctrl+o, Ctrl+i",move back and forth between two locations
"Ctrl+o, Ctrl+o",move back and forth through multiple locations
"Ctrl+o, Ctrl+o, Ctrl+o",move back and forth through multiple locations
"Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o",move back and forth through multiple locations
"Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o",move back and forth through multiple locations
"Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o",move back and forth through multiple locations
"Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o",move back and forth through multiple locations
"Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o",move back and forth through multiple locations
"Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o",move back and forth through multiple locations
"Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o",move back and forth through multiple locations
"Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o",move back and forth through multiple locations
"Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o",move back and forth through multiple locations
"Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o",move back and forth through multiple locations
"Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o",move back and forth through multiple locations
"Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o",move back and forth through multiple locations
"Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o",move back and forth through multiple locations
"Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o",move back and forth through multiple locations
"Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o",move back and forth through multiple locations
"Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o",move back and forth through multiple locations
"Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o, Ctrl+o",move back and forth through multiple locations
Ctrl+o,move to previous instance in jump list
"Ctrl+o, w",move to previous instance in jump list and place cursor at the beginning of the previous word
"Ctrl+o, e",move to previous instance in jump list and place cursor at the end of the previous word
"Ctrl+o, f, t",move to previous instance in jump list and place cursor before the next occurrence of 't'
"Ctrl+o, F, T",move to previous instance in jump list and place cursor after the previous occurrence of 'T'
"Ctrl+o, /pattern",move to previous instance in jump list and search for 'pattern'
"Ctrl+o, n",move to previous instance in jump list and repeat the last search forward
"Ctrl+o, N",move to previous instance in jump list and repeat the last search backward
"Ctrl+o, d, w",move to previous instance in jump list and delete the previous word
"Ctrl+o, d, e",move to previous instance in jump list and delete the previous word including the trailing space
"Ctrl+o, y, w",move to previous instance in jump list and yank (copy) the previous word
"Ctrl+o, y, e",move to previous instance in jump list and yank (copy) the previous word including the trailing space
"Ctrl+o, p",move to previous instance in jump list and paste the yanked text after the cursor
"Ctrl+o, P",move to previous instance in jump list and paste the yanked text before the cursor
"Ctrl+o, u",move to previous instance in jump list and undo the last change
"Ctrl+o, Ctrl+r",move to previous instance in jump list and redo the undone change
"Ctrl+o,",s/old/new/g: move to previous instance in jump list and perform a global substitution of 'old' with 'new'
"Ctrl+o,",wq: move to previous instance in jump list and save and quit the current file
"g,",: move to next instance in change list
g;,move to previous instance in change list
Ctrl-o,jump to previous location in jump list
Ctrl-i,jump to next location in jump list
"g,",move to newer change location
g;,move to previous change location
"Ctrl-o, Ctrl-i",navigate back and forth through jump list
"g;, g,",: navigate through change list
"Ctrl-o, g,",navigate through jump and change lists
"g;, Ctrl-i",navigate through change and jump lists
"g;, Ctrl-o",navigate through change and jump lists
"g;, g,",navigate through change list
"Ctrl-o, g,",navigate through jump and change lists
"g;, Ctrl-o",navigate through change and jump lists
"g;, Ctrl-i",navigate through change and jump lists
"g;, Ctrl-o, Ctrl-i",navigate through change and jump lists
"g;, Ctrl-o, g,",navigate through change and jump lists
"g;, Ctrl-o, g,",navigate through change and jump lists
g;,move to previous instance in change list
"g,",move to next instance in change list
g;g;,toggle between current and previous change
g;d,delete text from current position to previous change
g;u,undo changes up to previous change
g;yy,yank text from current position to previous change
g;P,paste text before cursor from previous change
g;3w,"move cursor to previous change, then move 3 words forward"
g;0,move cursor to beginning of line at previous change
g;$,move cursor to end of line at previous change
"g;f,","move cursor to previous change, then to next comma"
g;gg,move cursor to beginning of file at previous change
g;G,move cursor to end of file at previous change
g;H,move cursor to top of screen at previous change
g;M,move cursor to middle of screen at previous change
g;L,move cursor to bottom of screen at previous change
g;Ctrl-o,"move cursor to previous jump location, then to previous change"
qa,record macro a
q,stop recording macro a
@a,execute macro a
qa,record macro a
dd,delete current line
p,paste after cursor
q,stop recording macro a
@a,execute macro a
qa,record macro a
dw,delete word
p,paste after cursor
q,stop recording macro a
@a,execute macro a
qa,record macro a
3j,move down 3 lines
dd,delete current line
p,paste after cursor
q,stop recording macro a
@a,execute macro a
qa,record macro a
0,move to beginning of line
d$,delete to end of line
p,paste after cursor
q,stop recording macro a
@a,execute macro a
qa,record macro a
3w,move forward 3 words
dW,delete WORD
p,paste after cursor
q,stop recording macro a
@a,execute macro a
qa,record macro a
0,move to beginning of line
d3w,delete 3 words
p,paste after cursor
q,stop recording macro a
@a,execute macro a
qa,record macro a
0,move to beginning of line
d3W,delete 3 WORDS
p,paste after cursor
q,stop recording macro a
@a,execute macro a
qa,record macro a
0,move to beginning of line
d3e,delete 3 words to end
p,paste after cursor
q,stop recording macro a
@a,execute macro a
qa,record macro a
0,move to beginning of line
d3E,delete 3 WORDS to end
p,paste after cursor
q,stop recording macro a
@a,execute macro a
qa,record macro a
0,move to beginning of line
d3b,delete 3 words backward
p,paste after cursor
q,stop recording macro a
@a,execute macro a
qa,record macro a
0,move to beginning of line
d3B,delete 3 WORDS backward
p,paste after cursor
q,stop recording macro a
@a,execute macro a
qa,record macro a
0,move to beginning of line
d3f,delete 3 characters forward
p,paste after cursor
q,stop recording macro a
@a,execute macro a
qa,record macro a
0,move to beginning of line
d3F,delete 3 characters backward
p,paste after cursor
q,stop recording macro a
@a,execute macro a
q,stop recording macro
qa,start recording macro into register 'a'
qb,start recording macro into register 'b'
q1,start recording macro into register '1'
q2,start recording macro into register '2'
q3,start recording macro into register '3'
q4,start recording macro into register '4'
q5,start recording macro into register '5'
q6,start recording macro into register '6'
q7,start recording macro into register '7'
q8,start recording macro into register '8'
q9,start recording macro into register '9'
q0,start recording macro into register '0'
qA,start recording macro into register 'A'
qB,start recording macro into register 'B'
qC,start recording macro into register 'C'
qD,start recording macro into register 'D'
qE,start recording macro into register 'E'
qF,start recording macro into register 'F'
qG,start recording macro into register 'G'
qH,start recording macro into register 'H'
qI,start recording macro into register 'I'
qJ,start recording macro into register 'J'
qK,start recording macro into register 'K'
qL,start recording macro into register 'L'
qM,start recording macro into register 'M'
qN,start recording macro into register 'N'
qO,start recording macro into register 'O'
qP,start recording macro into register 'P'
qQ,start recording macro into register 'Q'
qR,start recording macro into register 'R'
qS,start recording macro into register 'S'
qT,start recording macro into register 'T'
qU,start recording macro into register 'U'
qV,start recording macro into register 'V'
qW,start recording macro into register 'W'
qX,start recording macro into register 'X'
qY,start recording macro into register 'Y'
qZ,start recording macro into register 'Z'
q!,start recording macro into register '!'
q@,start recording macro into register '@'
q#,start recording macro into register '#'
q$,start recording macro into register '$'
q%,start recording macro into register '%'
q^,start recording macro into register '^'
q&,start recording macro into register '&'
q*,start recording macro into register '*'
q(,start recording macro into register '('
q),start recording macro into register ')'
q-,start recording macro into register '-'
q=,start recording macro into register '='
q+,start recording macro into register '+'
q{,start recording macro into register '{'
q[,start recording macro into register '['
q],start recording macro into register ']'
q',"start recording macro into register ""'"""
"q""","start recording macro into register '""'"
q<,start recording macro into register '<'
q>,start recording macro into register '>'
q?,start recording macro into register '?'
q/,start recording macro into register '/'
q;,start recording macro into register ';'
"q,","start recording macro into register ','"
q.,start recording macro into register '.'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
q/,start recording macro into register ':'
qa10wq,record a macro to move cursor forward by 10 words
@a,run macro a
qapwq,record a macro to move cursor forward by 10 paragraphs
@a,run macro a
qadwq,record a macro to delete the current word
@a,run macro a
qacwq,record a macro to change the current word
@a,run macro a
qaywq,record a macro to yank the current word
@a,run macro a
qad$wq,record a macro to delete from cursor to the end of the line
@a,run macro a
qac$wq,record a macro to change from cursor to the end of the line
@a,run macro a
qay$wq,record a macro to yank from cursor to the end of the line
@a,run macro a
qajjq,record a macro to move cursor down by 10 lines
@a,run macro a
qakjq,record a macro to move cursor up by 10 lines
@a,run macro a
qadGq,record a macro to delete from cursor to the end of the file
@a,run macro a
qacGq,record a macro to change from cursor to the end of the file
@a,run macro a
qayGq,record a macro to yank from cursor to the end of the file
@a,run macro a
qafjq,record a macro to move cursor forward by 10 sentences
@a,run macro a
qabjq,record a macro to move cursor backward by 10 sentences
@a,run macro a
qadjq,record a macro to delete the current line
@a,run macro a
qacjq,record a macro to change the current line
@a,run macro a
qayjq,record a macro to yank the current line
@a,run macro a
qadw3wq,record a macro to delete the current word and the next two words
@a,run macro a
qacw3wq,record a macro to change the current word and the next two words
@a,run macro a
qayw3wq,record a macro to yank the current word and the next two words
@a,run macro a
qad$3wq,record a macro to delete from cursor to the end of the line and the next two lines
@a,run macro a
qac$3wq,record a macro to change from cursor to the end of the line and the next two lines
@a,run macro a
qay$3wq,record a macro to yank from cursor to the end of the line and the next two lines
@a,run macro a
dw,delete word
dW,delete WORD
dd,delete line
d$,delete to end of line
d0,delete to beginning of line
d2w,delete two words
d2W,delete two WORDS
d3j,delete three lines down
d3k,delete three lines up
dG,delete to end of file
dgg,delete to beginning of file
d/word,delete to next occurrence of 'word'
d?word,delete to previous occurrence of 'word'
dF',delete to previous occurrence of '''
dT',delete to just before previous occurrence of '''
d%,delete to matching parenthesis or bracket
d{,delete to end of current block or function
"d3f,",delete to third comma on the line
"d3t,",delete to just before third comma on the line
"d3F,",delete to third comma from the right on the line
"d3T,",delete to just before third comma from the right on the line
d3w,delete three words forward
d3b,delete three words backward
d3e,delete three words to end of sentences
d3E,delete three words to end of WORDS
d3),delete three sentences forward
d3(,delete three sentences backward
d3{,delete three paragraphs backward
d3G,delete three lines forward from current line
d3gg,delete three lines backward from current line
d3H,delete three lines from top of screen
d3L,delete three lines from bottom of screen
d3M,delete three lines from middle of screen
d3Ctrl-D,delete three half-screens down
d3Ctrl-U,delete three half-screens up
d3Ctrl-F,delete three full-screens down
d3Ctrl-B,delete three full-screens up
d3H,delete three lines from top of screen
d3L,delete three lines from bottom of screen
d3M,delete three lines from middle of screen
d3Ctrl-D,delete three half-screens down
d3Ctrl-U,delete three half-screens up
d3Ctrl-F,delete three full-screens down
d3Ctrl-B,delete three full-screens up
d3H,delete three lines from top of screen
d3L,delete three lines from bottom of screen
d3M,delete three lines from middle of screen
d3Ctrl-D,delete three half-screens down
d3Ctrl-U,delete three half-screens up
d3Ctrl-F,delete three full-screens down
d3Ctrl-B,delete three full-screens up
d3H,delete three lines from top of screen
d3L,delete three lines from bottom of screen
d3M,delete three lines from middle of screen
d3Ctrl-D,delete three half-screens down
d3Ctrl-U,delete three half-screens up
d3Ctrl-F,delete three full-screens down
d3Ctrl-B,delete three full-screens up
d3H,delete three lines from top of screen
d3L,delete three lines from bottom of screen
d3M,delete three lines from middle of screen
d3Ctrl-D,delete three half-screens down
d3Ctrl-U,delete three half-screens up
d3Ctrl-F,delete three full-screens down
d3Ctrl-B,delete three full-screens up
d3H,delete three lines from top of screen
d3L,delete three lines from bottom of screen
d3M,delete three lines from middle of screen
d3Ctrl-D,delete three half-screens down
d3Ctrl-U,delete three half-screens up
d3Ctrl-F,delete three full-screens down
d3Ctrl-B,delete three full-screens up
d3H,delete three lines from top of screen
d3L,delete three lines from bottom of screen
d3M,delete three lines from middle of screen
d3Ctrl-D,delete three half-screens down
d3Ctrl-U,delete three half-screens up
d3Ctrl-F,delete three full-screens down
d3Ctrl-B,delete three full-screens up
d3H,delete three lines from top of screen
d3L,delete three lines from bottom of screen
d3M,delete three lines from middle of screen
d3Ctrl-D,delete three half-screens down
d3Ctrl-U,delete three half-screens up
d3Ctrl-F,delete three full-screens down
d3Ctrl-B,delete three full-screens up
d3H,delete three lines from top of screen
d3L,delete three lines from bottom of screen
d3M,delete three lines from middle of screen
d3Ctrl-D,delete three half-screens down
d3Ctrl-U,delete three half-screens up
d3Ctrl-F,delete three full-screens down
d3Ctrl-B,delete three full-screens up
d3H,delete three lines from top of screen
d3L,delete three lines from bottom of screen
d3M,delete three lines from middle of screen
d3Ctrl-D,delete three half-screens down
d3Ctrl-U,delete three half-screens up
d3Ctrl-F,delete three full-screens down
d3Ctrl-B,delete three full-screens up
d3H,delete three lines from top of screen
d3L,delete three lines from bottom of screen
d3M,delete three lines from middle of screen
d3Ctrl-D,delete three half-screens down
d3Ctrl-U,delete three half-screens up
d3Ctrl-F,delete three full-screens down
d3Ctrl-B,delete three full-screens up
d3H,delete three lines from top of screen
d3L,delete three lines from bottom of screen
d3M,delete three lines from middle of screen
d3Ctrl-D,delete three half-screens down
d3Ctrl-U,delete three half-screens up
d3Ctrl-F,delete three full-screens down
d3Ctrl-B,delete three full-screens up
d3H,delete three lines from top of screen
d3L,delete three lines from bottom of screen
d3M,delete three lines from middle of screen
d3Ctrl-D,delete three half-screens down
d3Ctrl-U,delete three half-screens up
d3Ctrl-F,delete three full-screens down
d3Ctrl-B,delete three full-screens up
